x,y,obstacle_type,is_charging_station,battery_level,path_length,navigation_success
2,29,static,0,85.79,30,0
6,13,dynamic,0,55.06,20,1
15,14,dynamic,0,26.29,27,1
20,16,none,1,37.73,22,1
21,18,static,0,11.29,73,1
6,10,dynamic,1,18.98,7,1
9,2,none,1,16.26,20,1
11,11,dynamic,0,37.43,27,1
3,26,dynamic,0,26.44,98,0
28,11,none,1,99.32,26,0
0,28,static,1,29.55,41,1
27,10,none,0,69.98,13,0
27,13,dynamic,1,11.79,13,0
28,1,none,1,88.25,62,0
28,12,dynamic,1,73.12,21,1
16,0,dynamic,0,78.64,19,0
1,0,static,0,34.33,45,0
26,16,static,0,54.93,88,0
1,20,dynamic,0,52.17,100,0
6,16,none,1,65.29,79,0
15,15,none,0,61.71,85,0
5,1,none,1,46.31,8,0
25,5,dynamic,1,74.73,88,1
12,25,none,1,94.46,95,1
21,21,static,0,52.19,50,0
1,25,dynamic,1,22.09,64,1
12,9,dynamic,0,72.36,24,1
29,15,static,1,51.14,84,0
28,1,static,1,41.65,24,1
27,2,none,0,70.06,36,1
21,26,static,1,93.44,54,0
4,0,dynamic,1,81.18,8,0
25,5,dynamic,1,67.14,65,1
28,17,static,0,17.52,8,1
2,20,static,1,20.93,53,0
17,19,dynamic,0,37.01,53,0
24,28,static,1,54.83,77,0
25,11,none,0,60.86,27,0
20,27,static,0,15.09,43,1
27,5,dynamic,1,59.47,45,1
12,10,dynamic,0,75.76,92,1
20,10,none,1,54.75,63,0
25,17,static,1,96.5,65,1
11,26,none,0,22.76,23,0
16,16,static,0,78.63,6,0
23,7,dynamic,0,12.0,31,0
4,11,dynamic,0,51.96,43,0
2,2,static,1,13.2,70,1
23,12,static,1,94.74,51,0
0,9,none,1,86.7,37,0
25,5,dynamic,0,66.61,76,0
19,24,dynamic,1,81.94,82,0
5,3,dynamic,0,45.75,31,1
23,15,dynamic,0,43.72,56,1
21,26,static,1,45.29,77,1
16,22,static,1,17.25,41,1
16,8,none,0,30.19,56,0
28,20,none,0,33.03,98,1
8,3,dynamic,0,73.7,14,1
6,4,dynamic,0,20.93,77,0
10,6,none,1,86.81,54,0
13,2,none,0,15.59,37,1
25,16,none,0,56.05,40,1
23,9,none,0,90.54,79,0
2,6,static,0,84.03,72,0
28,12,none,1,76.49,54,1
1,9,static,0,28.12,80,1
23,14,dynamic,1,32.07,8,1
0,11,none,1,76.36,35,0
29,18,dynamic,1,57.19,67,1
7,18,none,0,69.53,13,0
27,25,none,1,75.04,94,0
10,15,none,0,96.09,55,1
7,23,dynamic,1,14.29,43,0
12,0,dynamic,0,60.19,32,0
15,19,none,1,93.8,28,1
20,7,dynamic,0,87.28,56,0
26,16,none,0,76.09,94,0
22,2,none,1,10.84,28,0
16,5,none,1,52.74,21,0
4,13,none,1,37.48,25,0
13,22,dynamic,0,47.95,43,1
14,2,dynamic,1,18.68,15,1
24,28,dynamic,1,21.54,64,0
26,23,static,0,70.62,23,1
2,28,dynamic,0,86.15,7,1
29,21,none,1,39.93,64,0
17,9,none,0,28.43,90,0
3,20,static,1,60.16,58,1
16,22,none,0,47.5,79,0
18,7,dynamic,0,49.55,76,1
18,18,static,1,67.06,34,1
4,5,static,1,31.26,93,1
15,19,none,0,19.71,72,0
0,27,dynamic,1,39.77,82,1
6,8,dynamic,1,50.47,41,0
9,28,static,0,57.46,99,0
5,24,dynamic,1,90.55,7,1
0,9,static,1,90.09,36,1
4,1,none,1,87.86,6,0
4,23,none,1,46.78,45,0
17,7,dynamic,1,15.74,5,0
0,23,none,1,78.35,36,1
7,25,static,1,45.47,81,0
7,27,dynamic,0,72.07,90,1
18,8,none,0,53.73,49,0
29,26,dynamic,0,34.09,42,1
0,12,static,0,69.24,6,0
17,17,static,1,50.07,91,0
13,9,none,1,99.01,64,1
22,3,dynamic,1,22.75,91,0
7,14,static,1,98.21,49,1
7,29,none,1,66.11,47,1
1,15,static,1,40.72,95,1
15,25,none,0,69.99,58,0
9,28,static,1,29.43,89,1
20,9,dynamic,1,19.8,97,0
2,28,static,0,45.37,100,1
12,27,static,1,44.22,99,1
26,20,dynamic,0,69.3,10,0
13,20,none,0,63.0,25,1
25,8,dynamic,1,64.07,95,0
7,16,dynamic,1,98.55,50,1
4,20,static,0,13.63,66,1
13,21,static,0,94.13,10,0
20,1,static,0,14.32,56,1
2,20,none,1,24.22,27,0
24,19,static,0,48.03,33,1
10,13,dynamic,0,63.33,24,1
14,0,static,1,80.59,5,0
27,23,dynamic,1,78.86,14,0
10,15,static,1,29.48,39,0
22,0,none,0,19.84,16,0
27,22,dynamic,0,35.14,26,1
29,3,none,0,15.28,84,1
29,12,dynamic,1,19.01,44,1
7,16,none,1,83.4,18,1
23,2,static,1,36.03,43,1
27,7,dynamic,1,61.47,17,1
7,14,dynamic,0,30.81,36,0
20,3,none,1,11.61,66,0
4,3,dynamic,1,29.98,43,1
12,19,static,1,27.21,29,0
18,9,none,1,83.37,41,1
14,10,static,0,47.85,98,1
3,20,none,0,83.61,80,0
0,13,dynamic,1,39.27,9,0
18,11,static,0,79.63,13,0
3,23,static,0,61.87,64,1
17,16,none,1,15.34,43,1
11,28,static,0,92.35,78,0
23,4,dynamic,0,73.18,28,1
17,20,dynamic,1,93.91,60,0
15,21,static,0,47.24,30,0
3,28,static,1,97.15,49,1
19,1,none,0,65.05,49,1
15,20,static,1,38.48,42,1
22,4,none,0,89.11,74,1
6,4,static,1,30.02,21,1
26,10,none,0,77.86,18,0
18,23,none,1,77.53,18,0
22,28,none,1,82.77,39,1
5,15,dynamic,0,10.66,30,0
16,7,none,0,35.88,38,1
21,11,dynamic,1,65.0,79,1
29,11,none,1,72.74,100,0
11,1,static,1,13.3,68,0
21,14,dynamic,1,42.01,50,1
4,17,none,0,85.37,83,0
24,24,static,1,54.67,13,1
12,17,dynamic,0,21.08,14,1
23,28,dynamic,1,48.12,38,1
19,25,dynamic,0,84.25,58,1
22,11,static,1,12.38,48,1
25,4,dynamic,1,87.93,80,1
24,2,dynamic,0,13.43,88,0
23,12,dynamic,0,36.16,42,1
12,22,none,1,59.75,37,1
5,26,none,0,20.68,89,1
2,19,dynamic,0,73.29,13,0
20,13,static,1,23.99,75,0
6,1,dynamic,0,50.36,96,0
15,29,static,1,45.83,28,1
6,9,static,1,52.56,60,0
26,20,static,1,68.77,37,0
5,19,none,1,55.98,40,1
22,8,dynamic,0,87.96,29,1
2,24,none,1,27.67,6,0
29,11,none,1,84.58,49,1
3,12,static,1,43.48,48,0
4,27,none,1,39.09,60,0
29,20,none,1,16.73,58,1
7,21,static,1,96.76,12,0
15,15,none,0,25.97,36,1
19,16,static,1,25.16,31,0
16,9,static,1,66.25,45,0
3,10,dynamic,1,53.9,52,1
5,16,dynamic,1,85.5,62,0
25,1,dynamic,0,10.36,53,0
24,9,static,1,49.87,39,1
12,11,none,0,32.55,83,1
7,2,static,1,17.42,45,1
10,28,dynamic,0,44.01,34,1
11,1,static,1,24.48,37,0
23,25,static,0,56.86,45,0
18,23,dynamic,1,72.28,62,0
17,13,none,1,81.41,63,1
4,0,dynamic,0,71.12,20,0
21,1,dynamic,0,83.78,32,1
21,22,none,0,75.43,55,1
25,4,static,0,14.97,52,1
14,16,none,1,45.76,7,0
28,26,static,0,96.54,83,0
4,29,dynamic,0,60.7,7,0
3,9,dynamic,0,62.74,66,1
24,29,dynamic,1,44.73,70,0
14,26,static,0,19.4,68,0
15,24,dynamic,0,50.54,97,0
16,27,dynamic,0,74.95,15,1
0,16,none,0,88.5,24,0
15,24,none,0,51.08,53,0
20,19,static,0,49.39,53,0
5,7,none,0,22.3,89,0
2,0,none,0,71.05,43,0
21,7,static,1,82.15,33,1
13,6,none,1,74.0,67,0
17,12,static,1,77.56,69,1
1,25,static,1,54.01,5,1
11,12,dynamic,1,15.82,77,0
22,26,static,0,30.61,32,0
17,25,dynamic,1,71.27,98,1
17,4,dynamic,1,39.87,90,1
6,23,dynamic,1,26.47,60,1
29,2,none,1,26.7,27,0
13,7,none,0,99.0,31,0
25,20,none,1,48.66,24,0
16,6,none,0,52.9,30,0
10,11,dynamic,1,73.0,72,0
10,4,dynamic,0,19.61,64,1
0,5,dynamic,1,49.41,68,0
28,22,static,0,99.63,7,0
25,14,static,0,82.57,73,1
27,11,none,1,32.08,38,1
8,5,static,1,19.61,47,1
2,3,static,0,70.21,20,1
28,20,none,1,77.02,68,1
20,23,static,1,49.17,50,1
16,25,dynamic,1,18.42,19,0
11,20,dynamic,0,80.08,37,1
25,23,none,0,69.91,40,1
20,24,dynamic,0,65.66,45,1
23,0,none,0,19.09,38,1
25,16,dynamic,0,56.2,41,0
25,0,static,0,90.98,81,0
4,22,static,1,63.89,61,0
2,11,dynamic,0,26.49,86,0
6,9,none,1,75.45,56,1
12,26,dynamic,0,70.07,92,1
4,10,none,0,39.1,80,0
6,23,none,0,54.52,68,1
3,4,dynamic,0,87.72,91,1
19,4,none,0,87.51,44,0
15,22,none,1,77.94,36,1
9,17,dynamic,1,34.09,20,0
13,9,none,1,82.48,54,0
4,17,dynamic,0,24.92,52,1
20,22,none,0,74.37,98,1
28,19,none,0,31.57,80,1
23,17,none,1,30.16,100,0
3,23,none,1,40.57,35,1
22,26,none,1,24.94,95,1
24,10,none,0,20.82,55,1
8,9,none,1,67.41,85,1
6,29,none,0,63.0,58,0
15,22,dynamic,0,18.68,64,1
3,1,none,0,27.51,61,1
6,27,none,1,50.49,79,0
14,27,none,0,43.36,91,0
16,0,dynamic,1,31.83,94,0
5,20,static,0,10.06,80,1
6,16,dynamic,0,24.03,59,0
15,11,none,1,61.63,86,0
20,20,static,0,54.27,7,1
25,8,static,1,99.27,61,0
9,13,static,0,41.03,54,1
14,10,none,1,92.92,37,1
1,8,none,1,84.45,9,1
26,22,static,0,99.49,28,1
23,5,none,1,15.5,5,1
12,29,dynamic,1,86.23,11,0
8,21,dynamic,1,86.77,66,0
5,10,static,0,20.84,12,0
17,10,dynamic,1,79.45,45,0
5,25,none,1,87.89,27,0
28,16,dynamic,1,87.47,82,0
20,8,dynamic,0,50.01,37,0
0,19,none,0,36.38,95,1
1,3,dynamic,0,80.34,70,1
28,28,dynamic,1,80.3,77,0
9,3,none,0,94.79,71,0
28,15,none,0,60.16,76,1
0,1,none,0,37.63,40,1
25,25,none,0,87.76,65,1
20,11,none,1,73.9,35,0
10,3,none,1,31.1,47,1
23,5,none,1,42.37,51,0
1,1,none,0,67.8,74,0
3,27,static,1,66.64,21,1
14,14,dynamic,0,21.13,58,0
9,14,static,1,72.44,83,0
5,2,dynamic,0,36.42,99,1
17,22,none,1,60.03,23,1
10,6,none,0,56.34,89,1
0,3,static,0,92.84,35,1
17,23,static,0,53.86,73,1
18,5,dynamic,0,59.96,84,0
2,27,none,1,26.93,28,1
9,20,none,1,62.23,27,1
4,20,dynamic,0,52.09,31,0
7,12,static,0,60.3,12,0
20,2,none,1,77.42,5,1
0,16,static,0,23.75,6,0
7,25,dynamic,0,23.61,91,0
26,19,static,0,99.34,64,1
28,3,none,1,29.19,98,0
6,8,static,1,94.92,31,0
28,6,none,0,82.82,35,1
17,9,dynamic,0,61.8,17,0
10,19,static,0,44.38,19,1
21,3,none,1,87.01,82,1
14,23,none,1,22.82,93,0
20,21,dynamic,0,69.25,29,0
21,22,static,1,71.77,23,0
1,16,dynamic,0,99.86,25,1
19,29,static,1,61.01,43,1
28,21,none,1,39.02,84,1
3,26,dynamic,0,72.75,68,0
10,25,dynamic,0,41.8,8,0
2,2,none,1,96.92,71,0
16,22,static,0,82.79,9,0
17,11,static,0,43.18,73,0
21,23,static,0,12.72,81,1
7,26,dynamic,0,34.07,57,1
16,18,static,1,75.45,68,0
29,11,none,1,93.81,96,1
16,8,none,1,71.94,82,1
10,25,static,0,77.61,78,1
16,13,static,0,70.88,34,0
24,28,static,0,24.93,98,1
28,27,dynamic,1,36.58,72,0
0,8,none,0,57.27,100,1
2,4,none,1,30.71,85,0
5,22,dynamic,1,65.1,10,0
18,27,dynamic,1,64.12,6,1
25,1,dynamic,0,77.58,54,1
16,0,static,1,67.95,55,0
25,2,dynamic,1,63.18,98,0
25,12,static,1,57.95,30,1
6,11,none,1,52.8,5,1
9,16,dynamic,1,21.31,94,1
12,24,dynamic,0,86.63,14,1
29,13,dynamic,0,74.57,86,0
3,10,static,0,81.17,66,0
21,8,none,0,58.99,43,1
18,22,static,1,42.7,89,0
12,17,dynamic,0,20.58,94,0
7,10,dynamic,0,57.2,7,1
25,12,static,0,73.34,27,1
4,13,static,0,43.13,20,1
10,12,static,1,35.81,68,0
14,25,static,1,64.93,46,0
24,1,dynamic,1,33.5,65,1
7,22,static,0,26.08,71,1
3,17,none,0,90.18,95,0
3,17,none,0,97.73,93,1
25,27,dynamic,0,20.9,10,0
29,19,static,1,18.88,27,1
3,4,dynamic,1,39.56,83,1
3,21,dynamic,1,66.55,8,0
1,25,static,1,62.56,96,1
1,3,static,0,71.01,47,1
25,13,none,1,74.34,7,0
8,11,static,0,25.04,22,0
12,28,dynamic,0,33.78,91,1
2,1,static,1,39.1,30,1
5,4,dynamic,0,54.7,20,1
19,6,static,0,13.3,55,0
14,3,static,0,58.89,68,0
13,29,static,1,40.37,18,1
8,26,static,0,95.27,81,0
13,0,none,0,69.27,82,0
10,24,none,1,52.32,52,0
4,29,none,0,36.61,44,1
17,4,static,0,66.91,39,1
25,12,static,0,64.41,36,0
7,11,none,0,64.81,22,0
16,25,dynamic,1,70.81,19,0
3,13,none,0,42.43,19,0
17,1,dynamic,1,37.11,9,1
20,14,none,0,85.98,35,1
1,18,static,1,10.2,25,0
21,22,static,0,83.13,67,0
19,23,dynamic,0,35.26,35,0
16,16,static,0,68.01,50,0
13,10,none,1,30.07,39,0
25,1,dynamic,0,75.56,54,0
18,9,static,0,47.87,13,0
10,21,static,0,71.41,92,0
25,23,none,1,79.0,57,1
19,28,none,0,47.11,89,1
6,24,dynamic,0,12.99,13,0
23,2,none,1,49.75,22,1
11,4,none,0,11.72,82,1
3,28,none,0,57.37,74,1
26,0,static,1,58.39,86,1
28,25,dynamic,0,86.82,8,1
25,26,static,1,31.81,81,1
29,5,static,1,53.6,24,0
12,12,static,1,26.18,40,0
3,15,none,1,45.9,65,0
23,16,static,0,78.61,85,0
28,0,dynamic,0,82.17,24,1
23,21,static,1,67.14,64,1
19,28,dynamic,0,55.05,22,1
12,5,dynamic,1,87.63,55,0
0,5,static,1,83.57,29,0
9,25,none,0,28.13,31,1
23,27,dynamic,1,27.12,20,1
18,11,dynamic,1,62.28,50,1
17,10,dynamic,0,34.72,23,1
9,8,none,0,72.4,33,1
4,15,none,0,31.37,49,0
25,10,dynamic,0,33.69,54,0
25,12,none,1,59.83,85,0
3,19,static,1,67.03,62,1
29,13,none,0,31.09,32,1
11,6,static,0,39.68,82,0
2,5,static,1,48.96,40,0
6,21,none,0,80.57,76,0
27,2,dynamic,1,30.98,28,1
21,27,static,1,22.71,65,0
26,8,dynamic,1,12.17,47,0
1,27,dynamic,0,88.59,48,1
13,5,static,0,12.92,54,0
14,0,dynamic,0,17.52,28,0
2,18,static,1,76.85,88,0
1,23,dynamic,0,44.28,36,0
15,22,none,0,44.07,40,1
1,4,dynamic,1,74.26,68,1
14,17,static,1,70.67,68,0
4,12,dynamic,1,85.52,45,1
9,4,static,1,50.0,65,0
23,18,static,1,28.89,96,1
29,10,dynamic,0,90.23,75,1
26,3,static,0,53.17,7,0
6,4,static,1,66.86,42,1
27,22,none,1,77.55,78,1
3,18,none,0,79.52,55,0
23,4,dynamic,1,14.46,34,1
9,23,dynamic,1,58.75,63,1
25,23,static,1,55.66,35,1
11,28,static,0,19.64,43,0
4,19,static,1,74.98,59,0
28,10,static,0,71.25,85,0
9,16,static,0,46.1,39,1
22,9,dynamic,0,53.97,66,1
21,16,static,1,25.01,79,1
12,2,static,1,82.41,63,1
29,28,static,0,47.75,76,0
6,28,static,0,32.03,88,0
11,25,dynamic,1,38.33,16,0
28,15,static,0,75.26,89,1
11,0,none,0,65.49,33,0
28,0,dynamic,1,65.99,74,0
12,15,none,0,21.56,78,0
16,8,dynamic,1,96.65,43,1
14,0,static,0,68.45,5,0
19,10,static,0,68.63,37,0
18,29,none,1,57.78,99,1
20,26,static,0,56.41,46,0
15,16,dynamic,1,33.82,83,0
27,21,none,1,77.91,22,0
21,21,dynamic,0,97.32,23,1
6,18,dynamic,0,67.94,91,1
11,27,dynamic,1,43.12,82,0
5,25,none,0,69.24,27,0
13,3,none,0,49.59,8,1
19,16,dynamic,0,35.62,27,1
29,16,static,1,36.34,71,1
7,10,none,0,68.85,42,0
12,1,none,1,94.47,82,0
4,28,dynamic,1,14.02,40,0
23,19,none,0,22.03,73,0
24,18,dynamic,0,57.55,33,0
22,7,none,1,14.5,7,1
19,10,none,0,76.37,93,0
28,17,none,1,81.67,13,1
15,15,static,1,76.38,62,1
12,22,none,0,97.55,59,0
15,25,static,0,65.16,25,0
21,11,static,0,70.0,28,0
28,2,dynamic,1,88.53,57,0
6,6,static,0,45.26,29,1
23,22,dynamic,1,52.02,79,1
27,28,none,0,91.04,46,1
6,4,static,0,54.14,43,1
12,17,none,0,59.86,44,1
19,19,none,1,11.69,39,0
11,7,none,0,34.75,45,0
14,5,dynamic,1,54.19,84,0
0,16,dynamic,1,88.62,75,0
20,15,static,1,20.62,21,1
8,20,none,1,62.62,5,0
29,9,dynamic,1,65.32,72,0
28,9,dynamic,1,30.04,13,0
8,13,none,0,17.89,97,1
6,23,none,0,84.05,91,0
20,0,dynamic,0,85.51,80,1
29,23,dynamic,1,50.22,39,0
23,19,static,1,96.23,33,0
29,2,none,0,46.82,100,1
25,27,none,1,18.69,16,1
1,19,none,0,23.43,48,1
8,27,dynamic,1,81.61,84,0
14,25,none,1,58.67,25,1
1,25,dynamic,1,11.96,25,0
2,26,none,0,47.26,99,0
1,11,static,1,75.84,16,1
9,0,static,0,95.22,87,1
4,17,static,0,94.26,83,1
3,25,dynamic,0,90.57,42,1
21,9,static,0,42.7,63,0
9,15,static,1,87.19,30,0
14,18,dynamic,1,29.15,61,0
27,16,none,0,87.2,51,0
29,4,static,0,38.47,86,0
10,23,static,0,16.73,49,1
4,22,none,1,60.71,24,1
7,14,dynamic,1,78.26,49,0
6,22,static,0,52.98,87,0
22,20,static,1,93.16,60,1
22,24,static,0,32.66,46,1
22,23,dynamic,0,60.5,8,0
17,22,none,1,87.19,18,0
12,9,none,0,21.53,56,0
3,17,none,0,78.37,72,0
24,14,dynamic,0,51.35,15,0
13,12,none,0,77.64,60,0
20,4,dynamic,0,85.66,20,1
3,22,static,1,19.69,32,0
0,28,none,1,18.78,34,0
19,1,none,1,79.49,80,1
5,18,none,1,83.53,42,0
11,7,dynamic,0,54.4,61,0
15,29,dynamic,0,57.04,89,1
1,22,static,0,38.79,82,0
2,12,none,1,47.14,49,0
26,15,none,0,27.32,42,0
28,29,none,1,41.98,7,1
14,22,none,1,23.9,84,0
5,0,none,1,34.06,40,1
29,14,dynamic,1,74.17,75,0
8,20,static,0,71.28,18,1
4,22,static,0,81.19,14,1
7,17,static,0,76.82,93,1
19,13,dynamic,1,46.77,49,0
7,27,static,0,12.71,41,0
28,7,static,0,12.73,25,1
15,27,none,1,67.52,30,1
7,8,dynamic,1,27.45,18,1
5,18,static,1,13.18,79,1
7,29,dynamic,1,21.98,61,0
24,15,dynamic,0,21.38,73,1
28,8,none,0,13.15,92,0
2,8,none,1,85.81,57,0
14,18,static,0,24.99,5,1
27,1,dynamic,1,76.03,62,1
12,28,none,1,64.06,85,0
8,16,dynamic,1,55.17,98,0
18,2,none,1,14.23,91,1
5,7,none,1,12.03,8,1
5,4,none,0,97.97,64,0
19,29,dynamic,0,62.23,77,1
28,19,static,0,92.68,75,1
7,7,static,1,22.06,62,1
12,13,static,1,82.98,35,0
11,24,none,1,20.74,45,1
0,13,none,0,11.84,25,1
15,23,none,0,29.84,55,1
0,27,none,1,87.53,84,1
3,28,static,1,75.62,67,1
11,19,none,0,62.04,23,0
23,10,none,0,52.86,51,1
7,9,dynamic,1,75.31,86,1
5,26,static,1,26.87,69,1
8,16,static,1,74.01,66,0
3,16,dynamic,0,31.54,89,0
23,19,none,0,25.52,19,1
7,13,none,0,70.56,67,0
2,5,dynamic,0,15.13,89,1
17,3,dynamic,0,46.5,15,0
21,26,none,0,10.25,23,1
22,21,dynamic,0,22.77,20,1
7,28,none,1,44.71,74,0
9,27,dynamic,0,66.07,52,1
11,5,none,1,54.83,62,0
1,0,dynamic,0,48.57,27,1
10,3,static,0,46.4,78,1
8,16,dynamic,1,94.87,12,0
20,24,dynamic,1,56.59,9,1
27,24,dynamic,1,94.57,42,1
10,0,static,1,32.01,56,0
5,10,static,1,24.29,78,0
19,6,dynamic,0,85.01,14,0
15,20,static,0,12.9,66,0
5,29,static,0,18.52,27,0
29,13,dynamic,1,78.27,29,0
1,21,dynamic,0,42.52,12,0
26,1,none,0,54.21,62,1
24,26,dynamic,1,95.5,40,1
22,13,none,1,35.86,85,0
22,26,dynamic,1,73.65,70,1
16,20,dynamic,1,56.06,45,1
2,24,dynamic,0,31.44,74,0
2,14,none,1,96.63,15,1
0,0,static,1,76.19,24,0
6,10,static,0,21.16,46,0
15,22,none,0,52.92,44,0
13,15,dynamic,1,64.77,34,1
7,21,none,1,51.89,12,0
20,19,static,1,63.48,23,0
4,14,static,1,64.59,59,0
4,15,none,0,18.48,37,1
19,19,dynamic,0,21.71,77,1
27,9,static,0,93.66,33,0
28,12,none,0,62.72,9,0
5,21,static,0,88.98,36,1
0,7,none,1,57.06,52,1
1,10,none,0,25.6,21,1
4,12,dynamic,1,90.02,71,0
17,21,dynamic,1,36.63,20,0
28,2,dynamic,1,19.88,95,1
16,6,static,1,50.15,33,1
11,26,static,1,38.08,47,0
26,15,static,0,59.38,13,0
13,23,dynamic,0,53.47,37,1
1,22,none,1,94.69,21,1
29,10,dynamic,1,23.84,68,0
27,17,none,1,40.55,37,0
22,29,static,0,17.0,64,1
15,9,none,0,30.25,53,1
7,21,dynamic,0,39.79,19,0
11,25,static,1,91.62,11,0
10,23,static,0,22.64,14,1
9,11,none,1,52.94,100,1
21,3,none,0,29.17,66,0
25,8,none,1,24.84,25,1
20,18,none,1,44.98,59,1
8,27,static,0,60.8,51,1
22,23,none,0,80.13,73,0
21,12,static,1,14.52,69,0
4,23,static,1,72.26,94,0
21,2,dynamic,0,57.28,71,0
10,22,none,0,25.78,66,0
26,22,static,0,71.73,26,1
17,11,dynamic,1,97.35,12,1
5,9,dynamic,0,36.58,59,1
21,14,none,0,90.69,64,0
24,12,dynamic,1,86.76,20,1
23,22,none,1,29.66,53,1
2,24,dynamic,0,59.06,96,0
18,9,none,1,10.85,22,0
21,24,static,1,12.36,22,1
10,4,static,1,40.63,64,1
25,2,dynamic,1,70.85,53,0
10,23,none,0,35.88,32,1
28,8,none,1,48.55,39,0
24,11,static,0,23.02,54,1
4,22,dynamic,1,55.46,16,0
6,6,static,0,34.24,58,1
14,15,static,1,97.17,67,1
2,9,dynamic,1,23.96,41,0
5,6,dynamic,1,15.85,57,0
11,10,none,0,41.79,52,0
11,28,none,0,59.52,73,0
20,22,dynamic,0,48.43,24,0
26,13,dynamic,0,58.83,67,1
29,23,static,0,75.61,9,0
12,16,none,1,30.66,42,0
25,8,none,0,17.91,53,0
7,4,static,0,27.89,50,0
25,0,dynamic,1,96.19,33,0
26,22,static,1,15.57,45,1
17,16,static,1,26.69,85,1
19,4,none,0,49.24,93,1
1,29,dynamic,0,90.88,36,0
6,14,dynamic,0,53.98,55,0
19,15,dynamic,0,43.12,34,0
14,1,static,1,87.16,22,0
17,18,static,0,59.76,16,0
14,14,dynamic,0,76.9,77,0
12,3,static,1,10.58,78,1
24,21,static,1,81.44,34,0
1,20,dynamic,1,30.3,71,0
12,11,dynamic,0,35.53,26,0
24,20,dynamic,0,32.23,83,1
7,11,static,1,85.27,24,0
3,9,dynamic,0,57.24,10,1
6,23,static,1,27.68,47,1
8,3,none,1,54.12,55,0
2,1,dynamic,0,58.6,22,0
10,26,dynamic,0,43.34,8,1
11,5,dynamic,0,70.97,74,0
28,18,none,0,14.2,67,0
0,29,none,0,24.46,57,1
11,21,static,0,20.72,38,0
14,27,static,0,83.36,74,0
5,5,dynamic,1,82.39,9,0
28,16,none,0,70.08,49,0
7,27,dynamic,0,91.31,72,1
11,21,dynamic,0,19.96,30,1
9,10,static,0,41.94,16,1
26,7,none,0,80.09,49,0
10,4,none,0,82.63,15,0
24,4,none,0,14.12,84,0
8,14,dynamic,1,31.48,83,0
20,22,none,0,55.19,65,0
24,5,dynamic,0,31.65,79,1
4,12,static,0,75.45,20,1
4,12,static,0,39.03,68,1
13,16,static,1,70.91,14,1
0,15,dynamic,1,86.42,26,0
27,26,dynamic,0,55.31,7,0
27,23,static,0,75.13,54,1
9,2,static,0,28.34,42,1
12,4,none,1,44.59,100,1
8,7,none,1,56.49,54,1
23,1,none,0,23.71,23,0
